2022-01-13	LN	PirovanoDaisy	Io conferisco le cittadinanze, ma so perfettamente che ci sono enormi problemi di scontri culturali, e se in casa la famiglia di prima generazione che non ha avuto un'integrazione dà insegnamenti non in linea con i nostri valori, ovviamente il ragazzo non capirà mai quale sia la linea giusta da seguire: a scuola gli si insegna una cosa, a casa gliene insegnano magari un'altra (non tutti, perché ci sono anche famiglie integrate). Quindi, bisogna agire in fretta perché questi episodi sono la punta di un iceberg. Anche nei nostri piccoli centri si notano fenomeni preoccupanti che fanno capire che queste persone non si sentono a casa propria, e l'unico modo per rispettare le regole è sentirsi a casa propria e amare il Paese in cui ci si trova.
2022-01-19	PD	CirinnaMonica	CIRINNA' (PD). Signor Presidente, intervengo brevemente a fine seduta per segnalare all'Assemblea che, nella Commissione diritti umani del Senato, abbiamo stabilito interventi a staffetta in Aula - per chi potrà anche sui suoi social - per non abbassare l'attenzione su quanto sta accadendo alle donne in Afghanistan. La Commissione diritti umani monitora continuamente gli avvenimenti e, purtroppo, dall'insediamento del Governo talebano, cioè dal mese di agosto, ad oggi, le condizioni di vita delle donne, nonostante tutti i falsi proclami, sono peggiorate in modo drastico: le bambine non vanno più a scuola e le donne sono costrette a una situazione di sottomissione assolutamente intollerabile. Quello che sta accadendo nelle ultime in queste ore deve essere sotto l'attenzione di tutti, com'è stato sottolineato in questa fase anche dall'ONU. La concomitanza di fattori orrendi quali carestia, siccità, impoverimento delle famiglie - alle donne non è più consentito neanche lavorare - sta portando la popolazione a scivolare verso una percentuale altissima di povertà (oltre il 97 per cento). Abbiamo visto tutti nei telegiornali, nelle ultime quarantott'ore, immagini strazianti di bambini che stanno morendo di fame, perché non possono essere nutriti. Chiedo a questo Senato l'attenzione che la questione merita e dico anche agli altri colleghi, al di là di chi siede nella Commissione diritti umani, di unirsi alla nostra staffetta. Abbiamo da fare nelle prossime ore, il Senato è convocato a domicilio, eleggeremo il nuovo Capo dello Stato, ma il mondo va avanti, l'orrore va avanti.
2022-01-19	PD	CirinnaMonica	L'onestà intellettuale ci porta a riconoscere, purtroppo, che il 2021 non è stato un buon anno per i diritti e per l'uguaglianza in questo Paese. Si è concluso con l'applauso vergognoso di una parte di questa Assemblea nell'occasione dell'affossamento del testo contro i crimini d'odio e contro gli speech di odio, un testo che serviva solo, come ben sapete, care colleghe e cari colleghi, a difendere e ad arginare quelle condotte violente e quei crimini d'odio, quelle stesse condotte e quei crimini d'odio che ha ricordato la Ministra nella sua relazione e che hanno alimentato nella storia le peggiori atrocità, unendosi all'indifferenza, alle discriminazioni e alla costruzione dell'altro come un nemico da colpire. Il 2021 è stato anche un anno di moniti, purtroppo rimasti inascoltati dalla Corte costituzionale verso il legislatore. Il Parlamento è fermo, ammettiamolo colleghi. È fermo sul fine vita, è rimasto assolutamente indifferente all'appello della Corte costituzionale nelle sentenze nn. 32 e 33, che chiedeva di assicurare tutele e pari dignità ai bambini delle famiglie arcobaleno, bambini diversi, bambini puniti solo per il modo in cui sono nati o solo per i genitori che hanno. Il 2021 è stato, insomma, l'ennesimo anno in cui il Parlamento ha voltato le spalle a tante, troppe domande di riconoscimento di uguaglianza e di giustizia, perché potremmo riorganizzare il servizio giustizia nel modo migliore possibile, ma se le leggi continueranno ad essere insufficienti, se ai giudici si continuerà a chiedere di sostituirsi al legislatore, un legislatore sordo, un legislatore inerte, e il Parlamento continuerà a decidere di non decidere, il legame tra giustizia e diritti sarà sempre più indebolito e sempre più sbilanciato. Il 2021 è stato anche l'anno in cui si è intensificata la barbarie della violenza maschile sulle donne, anche e soprattutto in famiglia. Ho riscontrato nella relazione della Ministra una fortissima attenzione su questo tema, un grandissimo lavoro anche delle tante persone che dentro e fuori dal Parlamento operano per dare dignità a queste donne che chiedono aiuto e soprattutto di essere ascoltate. Il 2021 è stato anche l'anno in cui abbiamo letto le cronache di momenti molto duri di violenza, come la vicenda del carcere di Santa Maria Capua Vetere, che cito come esempio patologico di quella che, nonostante tutti gli sforzi, resta un'emergenza. Sullo stato delle nostre carceri riconosco a lei, signora Ministra, una fortissima attenzione, anche in accordo e in supporto con la parte più garantista di questo Parlamento, che non ha mai fatto mancare il suo lavoro su questo tema. In aggiunta a quello che la Ministra ha ricordato, proprio per dimostrare ciò che ha detto lei, signora Ministra, cioè che il lavoro è stato enorme e quanto lavoro è stato fatto, vorrei citare alcuni passi non citati nella sua relazione. Penso alla questione dei bambini in carcere, con l'adozione del decreto di riparto dei fondi per la realizzazione di case famiglia protette, stanziati nella legge di bilancio del 2021, e anche il rinnovo, per ulteriori quattro anni, della Carta dei diritti dei figli dei genitori detenuti. Ha ragione, signora Ministra, a lei va dato atto di aver fatto molto anche su questo. Avanzamenti importanti, che devono però essere sostenuti, monitorati e messi a sistema in un contesto carcerario moderno, con più personale, con percorsi differenziati e con un maggiore investimento sul lavoro e sulla scuola, in carcere e all'esterno. Nella mia attenzione costante al tema delle carceri, sono guidata da un principio molto semplice: chi è detenuto resta anzitutto una persona, una persona che ha più valore delle sue stesse responsabilità. Ce lo insegna l'articolo 27 della Costituzione, che prevede che la rieducazione del condannato non coincida solo con la maturazione della consapevolezza di ciò che si è fatto, ma anche e soprattutto con la preparazione al reinserimento sociale. Su questo vorrei essere molto chiara. Occorre garantire alla persona detenuta una qualità di vita, non solo decente, come dice la relazione Ruotolo, ma che possa permettere al singolo di riappropriarsi della vita in tutti i suoi aspetti. Ne ricordo solo uno: la questione dell'affettività in carcere. È incardinato in Commissione giustizia un testo che io chiedo a questo Senato di non dimenticare. Nella sezione femminile del carcere di Rebibbia abbiamo assistito all'inaugurazione della Casina degli affetti, realizzata dal nostro collega, senatore Renzo Piano, un luogo nel quale le persone ritrovano la dignità delle loro relazioni familiari. Concludo, signor Presidente, signora Ministra, nel ricordare a tutti voi e a tutti noi che, quando una persona entra in carcere improvvisamente entra in carcere un'intera famiglia. Domandatevi cosa accade ad una madre, ad una moglie, ad un figlio, nel momento in cui l'uomo che ama, la donna che ama, entrano in carcere. Comincia un incubo di orari: l'orario in cui si possono portare i panni puliti, in cui si possono ritirare quelli sporchi, l'orario in cui si può consegnare il cibo. Pensate a chi è detenuto fuori dalla città in cui vive. Nell'occuparmi di affettività in carcere, io vorrei provare a dare anche una possibilità di miglioramento della vita di chi ha un detenuto in famiglia, perché queste sono famiglie, non solo private dell'affettività, ma costrette ad un percorso di burocrazia quotidiana durissima, che purtroppo il Covid-19 ha aumentato. Sono certa che troveremo, anche su questo, una modalità di procedere nel segno migliore e sempre nel segno dell'articolo 27 della nostra Costituzione.
2022-02-09	FI	GasparriMaurizio	La proporzionalità dell'azione è un criterio fondamentale per chi gestisce l'ordine pubblico. Una manifestazione di ragazzi che escono dalla scuola è una cosa diversa da quella dei cosiddetti centri sociali che anche in questa vicenda hanno avuto occasione di fare violenza
2022-02-09	FI	GasparriMaurizio	Quindi, ci sono varie questioni in questa informativa e non si può non partire dallo sgomento per la vicenda che poi ha innescato le manifestazioni e tutte le iniziative conseguenti. Però le cose vanno tenute distinte, perché non è che una tragedia drammatica, innegabilmente gravissima, può giustificare poi una serie di atti e di comportamenti. Infatti, è giusto che vi sia lo segno e la rabbia e dobbiamo anche capirlo: è un sentimento di ribellione e di protesta che fa parte della vita sociale e della comprensibile indignazione di tutti. Quindi, che gli studenti abbiano assunto delle iniziative è assolutamente comprensibile; anzi, se non ci fosse una reazione di fronte a fatti di questa natura, ci sarebbe da interrogarsi su una società cloroformizzata dai social, da un modo di vivere che a volte sembra condizionato quasi più dalla comunicazione che dalla vita reale. Detto questo, però, c'è la questione di come gestire questi eventi; non è che la gravità innegabile dell'evento non può giustificare qualsiasi tipo di iniziativa. Quindi, la questione delle morti bianche, quella scuola-lavoro e questa tragedia vanno tenute nella nostra mente e nelle nostre responsabilità. Certo, anche il Ministero dell'interno; che è parte rilevante dello Stato e lei, Ministro, lo sa perché lo ha vissuto in tutti gli aspetti. Quindi, anche se c'è il caporalato e forme di sfruttamento del lavoro, non è solo il Ministero competente per materia ma anche il Viminale che deve agire e operare, con le prefetture e sul territorio. A volte si dimentica che il Ministero dell'interno è lo Stato nella sua più operativa e rischiosa delle funzioni. Fare il Ministro dell'interno è una cosa - lei lo ha imparato - rischiosa e scomoda, perché ci sono molte responsabilità che ricadono sul Ministro dell'interno e altre che non ricadono fisicamente sul Ministro ma che politicamente lo coinvolgono. Non sto qui a fare l'elenco delle questioni delle quali abbiamo discusso, dai rave party all'emergenza sbarchi: ci sono mille problemi che tutto il Governo dovrebbe affrontare insieme al Ministero dell'interno. Rimanendo sul tema della sua informativa, penso che sulle questioni del contrasto all'immigrazione clandestina e della sicurezza del Paese anche il Presidente del Consiglio dovrebbe dedicare più attenzione e più sostegno al Ministero dell'interno
2022-02-09	FI	GasparriMaurizio	Signor Presidente, signor Ministro, onorevoli colleghi, in primo luogo il Gruppo Forza Italia non può non partire dal dolore e dallo sgomento per la morte di Lorenzo Parelli: alla sua famiglia, a tutti i ragazzi che con lui hanno condiviso un percorso di scuola e di istruzione e speravano in un futuro di lavoro va il nostro pensiero e la riflessione più generale, che non è estranea a questa discussione, sull'inaccettabile vicenda delle morti bianche e di quanto accade, che nei giorni scorsi anche il presidente Mattarella ha ricordato, in quell'elenco importante di argomenti e impegni morali, sociali e legislativi che ha collegato alla tutela della dignità della Nazione.
2022-02-09	FdI	GarneroSantancheDaniela	Signor Presidente, signor Ministro, onorevoli colleghi, innanzitutto lasciatemi dire che naturalmente Fratelli d'Italia si stringe intorno alla famiglia di Lorenzo, perché tutti siamo genitori e ne capiamo il dolore, il dramma. Perdere un figlio nell'orario di scuola, perdere un figlio nel programma scolastico scuola-lavoro impone a ognuno di noi un esame di coscienza. Questi genitori hanno un dolore e per loro non ci sarà mai fine pena, perché la pena continuerà ad accompagnare, giorno dopo giorno, la vita di questa famiglia.
2022-02-09	M5S	CastelloneMariaDomenica	Secondo i dati del World Economic Forum, il 65 per cento dei bambini che oggi frequenta la scuola farà un lavoro che non esiste. E noi siamo pronti? In che modo li stiamo preparando al futuro? Quanto spazio diamo alla loro creatività, allo sviluppo dei loro talenti?
2022-02-09	M5S	PellegriniMarco	Oggi, però, credo che sia nostro dovere approfondire aspetti che la tragica morte di Lorenzo ci suggerisce: uno di questi è il tema della utilità della ex alternanza scuola-lavoro - ora si chiama in maniera diversa - o, come nel caso di Lorenzo, dei percorsi di apprendimento duale o di tutta la galassia dei tirocini. È nostro dovere chiederci se la riforma Moratti che l'ha istituita nel 2003, e che poi è stata resa strutturale dal Governo Renzi, abbia centrato il suo obiettivo, che era quello di creare un ponte tra l'apprendimento didattico e quello pratico per favorire l'orientamento dei ragazzi, per offrire agli studenti e alle studentesse competenze utilizzabili fin da subito sul mercato del lavoro; il tutto basato sul presupposto che si possa imparare e acquisire conoscenze sia a scuola, sia in azienda. I risultati di questi anni non sono particolarmente soddisfacenti per diversi motivi: ad esempio, non tutti i luoghi di lavoro e le aziende possono avere una valenza formativa significativa; i tutor aziendali a volte non sono all'altezza della situazione e del difficile compito; non tutte le aziende sono capaci di trasmettere competenze e formazione, specialmente quelle aziende che già di formazione ne fanno poca o nulla per i propri dipendenti. Devo anche rimarcare quei casi in cui si utilizza questo istituto per sostituire manodopera salariata con studenti a costo zero o quasi zero. Noi crediamo che la scuola e l'istruzione in generale abbiano un compito ben più alto della mera preparazione al lavoro, ma debbano essere motore di inclusione sociale, di consapevolezza culturale, di sviluppo di coscienze di individui, di promozione di rapporti virtuosi tra l'individuo e la comunità, perché è grazie alla scuola che possiamo comprendere i diritti, ma anche i doveri di ciascun cittadino e il suo ruolo nella società. L'istituto dell'alternanza deve e può essere migliorato. A questo già abbiamo dato un nostro contributo nei mesi scorsi, ma dobbiamo proseguire su questa strada, perché abbiamo bisogno di più scuola e non certo di meno scuola, abbiamo bisogno di maggiori occasioni di approfondimento, e non di sfruttamento di giovani studenti. Il Paese ha diverse necessità e noi mettiamo al centro dei nostri sforzi il miglioramento della scuola, dell'istruzione, della ricerca come uniche possibilità di sviluppo sociale ed economico.
2022-02-09	M5S	PellegriniMarco	Signora Presidente, Ministra Lamorgese, rappresentanti del Governo, colleghe e colleghi, desidero preliminarmente esprimere, ancora una volta, a nome del mio Gruppo, il dolore e lo sgomento per la morte assurda e inaccettabile di Lorenzo Parelli, il povero studente di diciott'anni morto mentre faceva scuola in un luogo di lavoro. Ribadiamo in questa sede il nostro cordoglio alla famiglia, agli amici di Lorenzo, ai compagni di scuola dell'Istituto salesiano «Bearzi» di Udine e a tutta la comunità di cui lo studente faceva parte.
